z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
0.000000e+00,0.000000e+00,7.475339e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.252466e-01
1.000000e-06,1.635491e-05,7.473509e-02,2.499442e-09,6.609969e-07,1.277486e-06,9.252466e-01
1.450000e-06,2.201267e-05,7.472874e-02,3.692032e-09,9.083940e-07,1.722295e-06,9.252466e-01
1.900000e-06,2.715069e-05,7.472297e-02,4.941952e-09,1.141744e-06,2.127576e-06,9.252466e-01
2.350000e-06,3.190301e-05,7.471761e-02,6.250113e-09,1.365009e-06,2.503575e-06,9.252466e-01
2.800000e-06,3.635214e-05,7.471259e-02,7.615928e-09,1.580541e-06,2.856585e-06,9.252466e-01
3.250000e-06,4.055361e-05,7.470785e-02,9.038235e-09,1.789877e-06,3.190835e-06,9.252466e-01
3.700000e-06,4.454722e-05,7.470333e-02,1.051567e-08,1.994088e-06,3.509351e-06,9.252466e-01
4.150000e-06,4.836276e-05,7.469901e-02,1.204681e-08,2.193959e-06,3.814395e-06,9.252466e-01
4.600000e-06,5.202333e-05,7.469486e-02,1.363029e-08,2.390087e-06,4.107720e-06,9.252466e-01
5.050000e-06,5.554728e-05,7.469085e-02,1.526476e-08,2.582937e-06,4.390716e-06,9.252466e-01
5.500000e-06,5.894956e-05,7.468699e-02,1.694899e-08,2.772884e-06,4.664516e-06,9.252466e-01
5.950000e-06,6.224251e-05,7.468324e-02,1.868178e-08,2.960234e-06,4.930055e-06,9.252466e-01
6.400000e-06,6.543652e-05,7.467960e-02,2.046204e-08,3.145238e-06,5.188117e-06,9.252466e-01
6.850000e-06,6.854039e-05,7.467606e-02,2.228874e-08,3.328113e-06,5.439369e-06,9.252466e-01
7.300000e-06,7.156173e-05,7.467261e-02,2.416091e-08,3.509040e-06,5.684386e-06,9.252466e-01
7.750000e-06,7.450710e-05,7.466925e-02,2.607767e-08,3.688178e-06,5.923663e-06,9.252466e-01
8.200000e-06,7.738227e-05,7.466596e-02,2.803816e-08,3.865663e-06,6.157637e-06,9.252466e-01
8.650000e-06,8.019229e-05,7.466274e-02,3.004161e-08,4.041615e-06,6.386690e-06,9.252466e-01
9.100000e-06,8.294169e-05,7.465959e-02,3.208728e-08,4.216142e-06,6.611163e-06,9.252466e-01
9.550000e-06,8.563446e-05,7.465650e-02,3.417448e-08,4.389339e-06,6.831358e-06,9.252466e-01
1.000000e-05,8.827422e-05,7.465347e-02,3.630257e-08,4.561290e-06,7.047547e-06,9.252466e-01
1.450000e-05,1.123442e-04,7.462573e-02,5.971511e-08,6.226253e-06,9.033597e-06,9.252466e-01
1.900000e-05,1.334003e-04,7.460129e-02,8.672906e-08,7.821299e-06,1.079202e-05,9.252466e-01
2.350000e-05,1.524780e-04,7.457902e-02,1.170860e-07,9.372152e-06,1.240121e-05,9.252466e-01
2.800000e-05,1.701586e-04,7.455828e-02,1.506372e-07,1.089421e-05,1.390535e-05,9.252466e-01
3.250000e-05,1.868071e-04,7.453867e-02,1.873013e-07,1.239789e-05,1.533227e-05,9.252466e-01
3.700000e-05,2.026704e-04,7.451990e-02,2.270418e-07,1.389079e-05,1.670091e-05,9.252466e-01
4.150000e-05,2.179245e-04,7.450179e-02,2.698538e-07,1.537881e-05,1.802482e-05,9.252466e-01
4.600000e-05,2.326998e-04,7.448419e-02,3.157560e-07,1.686666e-05,1.931411e-05,9.252466e-01
5.050000e-05,2.470964e-04,7.446699e-02,3.647851e-07,1.835828e-05,2.057657e-05,9.252466e-01
5.500000e-05,2.611927e-04,7.445011e-02,4.169921e-07,1.985698e-05,2.181834e-05,9.252466e-01
5.950000e-05,2.750515e-04,7.443346e-02,4.724399e-07,2.136567e-05,2.304439e-05,9.252466e-01
6.400000e-05,2.887241e-04,7.441699e-02,5.312011e-07,2.288688e-05,2.425879e-05,9.252466e-01
